Title,Media_Type,Author,Identity,Count
22 seconds,Book,"Patterson, James,",9780316499378 0316499374,1
24 essential lessons for investment success,Book,"O'Neil, William J.",0071357548 (pbk.)\0071360336 (IBD edition),1
24 favorite one-act plays,Book,"Cerf, Bennett. ; Cartmell, Van H.",0385066171  9780385066174,1
24 hours in a game reserve,Book,"Watts, Barrie",053114173X,1
25 ways to win with people : how to make others feel like a million bucks,Book,"Maxwell, John C.,",0785260943  9780785260943  0785279547  9780785279549,1
"25,000+ baby names",Book,"Lansky, Bruce",088166491X 0684034506 :,1
26 Fairmount Avenue,Book,"De Paola, Tomie",039923246X,1
26 letters and 99 cents,Book,"Hoban, Tana.",590418319,1
28 Summers,Book,"Hilderbrand, Elin,",9780316420044 0316420042,1
The 30-minute decorator,Book,,1558704981 (pbk.),1
33 uses for a dad,Book,"Ziefert, Harriet.",1593540280 9781593540289,1
33rd Alabama Volunteer Infantry Regiment,Book,"Williams, L. B. (Tex)",,1
35 garden blueprints :  beautiful possibilities for designing your garden,Book,"Oster, Maggie.",671666711,1
"35,000+ baby names",Book,"Lansky, Bruce.",088166216X (pbk.),1
"The 36-hour day :    a family guide to caring for persons with Alzheimer's disease, related dementing illnesses, and memory loss in later life.",Book,"Mace, Nancy L.",0801840341 (pbk.)\0801840333,1
"The 36-hour day : a family guide to caring for people with Alzheimer disease, other dementias, and memory loss in later life",Book,"Mace, Nancy L",0801885094 (pbk.)  9780801885099 (pbk.),1
40-30-30 fat burning nutrition :  the dietary hormonal connection to permanent weight loss and better health,Book,"Daoust, Joyce",1569120862,1
41 : a portrait of my father,Book,"Bush, George W.",9780553447781 (hardcover) 0553447785 (hardcover),1
44 Scotland Street,Book,"Smith, Alexander McCall",1400079446 (pbk.),1
44 Scotland Street,Book,"McCall Smith, Alexander,",1419340522,1
45 pounds (more or less),Book,"Barson, Kelly.",9780670784820 (hardback),1
50 country quilting projects.,Book,,878578862,1
50 nifty super science fair projects,Book,,1565653637,1
50 nifty ways to paint your face,Book,"Monroe, Lucy.",1565650298,1
50 rules kids won't learn in school : real world antidotes to feel-good education,Book,"Sykes, Charles J.,",9780312360382 031236038X,1
50% off murder,Book,"Belle, Josie,",9.78E+12,1
"52 simple ways to say I love you""""",Book,"Arterburn, Stephen, 1953-",840795238,1
52 ways to build your self-esteem and confidence,Book,"Rollins, Catherine E., 1950-",0840796153 (pbk.),1
60 seconds & you're hired!,Book,"Ryan, Robin",9780143112907 (pbk.) 0143112902 (pbk.),1
61 hours : a Reacher novel,Book,"Child, Lee.",9780385340588 0385340583,1
75 fun things to make & do by yourself.,Book,"Ruelle, Karen Gray.",806903317,1
"84, Charing Cross Road",Book,"Hanff, Helene.",0140143505 :,1
90 minutes in heaven : a true story of death & life,Book,"Piper, Don",800759494,1
"99 1/2 spooky jokes, riddles, & nonsense",Book,"Kowitt, Holly.",0590937766 (pbk.),1
100 African-Americans who shaped American history,Book,"Beckner, Chrisanne.",0912517182 :,1
100 amazing make-it-yourself science fair projects,Book,"Vecchione, Glen.",590000616,1
"100 beaded jewelry designs : easy-to-bead necklaces, bracelets, brooches, and more",Book,"Burnham, Stephanie.",1931499993,1
100 cupboards,Book,"Wilson, Nathan D.",9780375838811  9780375838828 (pbk.),1
100 days of happiness,Book,"Brizzi, Fausto,",9780525427377 (hbk.) 0525427376 (hbk.) 9781410486226 (lp.),1
100 days of real food on a budget : simple tips and tasty recipes to help you cut out processed food without breaking the bank,Book,"Leake, Lisa,",9780062668554 0062668552,1
100 famous Americans : who changed American history,Book,"Crompton, Samuel Willard.",0836857682 (lib. bdg.),1
100 Keys to great fabric painting,Book,"Richardson, Julia",891347542,1
100 masterpieces of art,Book,"Vaizey, Marina.",0399123946 :,1
100 most disgusting things on the planet,Book,"Claybourne, Anna.",9780545197755 (pbk.),1
100 most important women of the 20th century.,Book,"Markey, Kevin.",0696208237 :,1
100 most influential people of the petroleum century.,Book,,,1
100 people who are screwing up America-- and Al Franken is #37,Book,"Goldberg, Bernard",60761288,1
"100 perfect hair days : step-by-steps for pretty waves, braids, curls, buns, and more!",Book,"Strebe, Jenny,",9781452143354 1452143358,1
100 smart choices :  easy ideas for living healthier and happier,Book,"Rosen, Michael W.",9781605297507  160529750X,1
100 trillion good bacteria living in the human body,Book,"Rockett, Paul,",9781410968777 (hb) 9781410968845 (pb),1
100 ways to train the perfect dog,Book,"Fisher, Sarah.",715329413,1
100 years of air power and aviation,Book,"Higham, Robin D. S.",1585442410 (cloth : alk. paper),1
100 years of science and technology in Texas,Book,,0892632623 :,1
The 100-year-old man who climbed out the window and disappeared,Book,"Jonasson, Jonas,",9781401324643 1401324649,1
101 arena exercises : a ringside guide for horse & rider,Book,"Hill, Cherry,",088266316X (pb - comb binding) :,1
101 cat and dog jokes,Book,"Hall, Katy",0590433369 (pbk.),1
101 crafts  under $10 : easy-to-make ideas for gifts and home,Book,,1573890170 1573890243 (softcover),1
101 Dalmatians,Book,"Disney, Walt",717284832,1
101 First Words: Things that Go,Book,,9.78E+12,1
101 full-size quilt blocks and borders,Book,,696207397,1
101 law forms for personal use,Book,"Warner, Ralph E.",9781413307122 (pbk.) 1413307124 (pbk.),1
101 longeing and long lining exercises : English & Western,Book,"Hill, Cherry,",876050461,1
101 myths of the Bible: how ancient scribes invented biblical history,Book,"Greenberg, Gary,",1570715866  9781570715860  1570718423  9781570718427,1
101 strategies for recruiting success,Book,"Pritchard, Christopher W.",,1
101 things to make,Book,"Bawden, Juliet",806905964,1
101 wacky kid jokes,Book,"Stine, Jovial Bob.",590413996,1
101 wacky state jokes,Book,"Berger, Melvin.",590444875,1
101 ways you can help save the planet before you're 12!,Book,"O'Sullivan, Joanne.",9781579908614 (pbk. : alk. paper) 1579908616 (pbk. : alk. paper),1
"101 weird ways to make money : cricket farming, repossessing cars, and other jobs with big upside and not much competition",Book,"Gillman, Steven,",9781118014189  1118014189,1
102 Dalmatians,Book,"Disney, Walt",717264718,1
102 minutes : the untold story of the fight to survive inside the Twin Towers,Book,"Dwyer, Jim,",805080325,1
102 questions children ask about the Bible,Book,,842345701,1
109 East Palace : Robert Oppenheimer and the secret city of Los Alamos,Book,"Conant, Jennet.",9.78E+12,1
125 best vegetarian slow cooker recipes,Book,"Finlayson, Judith.",778801047,1
150 nifty super crafts,Book,,0737305142 (pbk.),1
151 quick ideas to get new customers,Book,"Wilson, Jerry R.,",1564148300 (paper),1
165 million years of dinosaurs.,Book,"Gohier, Francois.",0382249046 (SC)\0382249038 (LSB),1
175 easy-to-do Christmas crafts : creative uses for recyclables,Book,,1563973731,1
175 easy-to-do Halloween crafts : creative uses for recyclables,Book,,1563973723,1
200 meters and down: the story of amateur radio,Book,"DeSoto, Clinton.",872590011,1
201 great ideas for your small business,Book,"Applegate, Jane.",1576600505 (pbk. : alk. paper),1
204 Rosewood Lane,Book,"Macomber, Debbie.",0739427490 1551669293 (pbk.) 9780778329732 (trd. ppr.),1
301 creative crafts,Book,,874031761,1
365 : no repeats : a year of deliciously different dinners,Book,"Ray, Rachael.",1400082544 9781400082544,1
365 afterschool activities :  TV-free fun for kids 6 years & up,Book,"Ellison, Sheila.",1570710805 (pbk.),1
365 days of baby love,Book,"Ellison, Sheila.",1570711100 (pbk.),1
365 days of creative play :  for children two years and up,Book,"Ellison, Sheila.",1570710295 (pbk.),1
"365 days of wonder : Mr. Browne's precepts ; a quote for every day of the year about courage, friendship, love, and kindness",Book,"Palacio, R. J.,",0399559183 9780399559181,1
365 ways to drive a liberal crazy,Book,"Delingpole, James,",9781596986428 (pbk.) 1596986425 (pbk.),1
365 ways to raise great kids,Book,"Ellison, Sheila.",1570713987 (alk. paper),1
400 calorie fix : the easy new rule for permanent weight loss!,Book,"Vaccariello, Liz.",9781605294940 1605294942,1
The 500 hats of Bartholomew Cubbins,Book,"Seuss, Dr.",,1
500 terrific ideas for cleaning everything,Book,"Aslett, Don",671737171,1
500 terrific ideas for organizing everything,Book,"Bykofsky, Sheree",1578661501,1
501 sewing hints : from the viewers of Sewing with Nancy,Book,,0848714512 (hardcover),1
501 Spanish verbs,Book,"Kendris, Christopher.",764124285,1
"501 Spanish verbs, fully conjugated in all the tenses, alphabetically arranged",Book,"Kendris, Christopher",812004213,1
600 best selling home plans,Book,,0938708740 (pbk.),1
601 Spanish verbs,Book,"Langer de Ramirez, Lori.",9789812686435 (pbk.) 9812686436 (pbk.),1
838 ways to amuse a child,Book,"Johnson, June.",051706121X,1
882 1/2 amazing answers to your questions about the Titanic,Book,"Brewster, Hugh.",439042968,1
1000 beautiful house plants and how to grow them.,Book,"Kramer, Jack,",,1
1001 all-time best-selling home plans,Book,,1881955672 (pbk.),1
1001 basic math and pre-algebra practice problems for dummies,Book,"Zegarelli, Mark,",9781118446560  1118446569,1
1001 cookie recipes,Book,"Gillespie, Gregg R.,",1884822355,1
1001 dumbest things ever said,Book,,1592282679 9781592282678,1
1001 healthy baby answers : pediatricians' answers to all the questions you didn't know to ask,Book,"Morchower, Gary C.",9781402219740 (electronic bk. : Adobe Reader) 1402219741 (electronic bk. : Adobe Reader),1
1001 ideas for trimwork,Book,"Kalyn, Wayne.",1580112609 (pbk.),1
1001 things everyone should know about African American history,Book,"Stewart, Jeffrey C.,",0385473095 038548576x (pbk.) 1582090580,1
1001 ways to cut your expenses,Book,"Pond, Jonathan D.",440504953,1
1001 ways to reward employees,Book,"Nelson, Bob, 1956-",156305339X,1
1022 Evergreen Place,Book,"Macomber, Debbie.",9780778328063 (pbk.) 0778328066 (pbk.),1
1105 Yakima Street,Book,"Macomber, Debbie.",9.78E+12,1
1776,Book,"McCullough, David G.",9780743226721 (pbk.) 0743226720 (pbk.),1
1876 :    a novel.,Book,"Vidal, Gore, 1925-",0394406516 (lim. ed.)\0394497503,1
1918 : the year of victories,Book,"Marix Evans, Martin.",0785816356 9780785816355,1
The 1960's,Book,"Hurley, Jennifer A.",737702117,1
1984 : a novel,Book,"Orwell, George,",0452262933 (pbk.) :,1
1984 : a novel,Book,"Orwell, George,",9780812416299 0812416295 0881030368 9780451524935,1
The 1992 Information Please Sports Almanac.,Book,,395596734,1
2001 : a space odyssey,Book,"Clarke, Arthur C.",451198492,1
2001-2002 Texas School Directory,Book,,,1
2002 things to do with your kids,Book,"Krueger, Caryl Waller.",1578661153 (hardcover),1
2010 - take back America : a battle plan,Book,"Morris, Dick.",9780061988448 (hardback.),1
2019 book of world records,Book,"O'brien, Cynthia",9.78E+12,1
2095,Book,"Scieszka, Jon.",670857955,1
"4800 wisecracks, witty remarks, and epigrams for all occasions",Book,"Fuller, Edmund,",517320908,1
The 5000 year leap : the 28 great ideas that changed the world,Book,"Skousen, W. Cleon",9780880801485 (pbk.) : 0880801484 (pbk.) :,1
An A B C Christmas,Book,"Houts, Amy",078470063X,1
The A list : an Ali Reynolds mystery,Book,"Jance, Judith A.,",9781501151019 1501151010,1
"A, B, C with Pooh",Book,"Case, Cassandra,",717288706,1
The A-to-Z steps to a richer life,Book,"Chopra, Deepak.",1566197198,1
"A-Z of horse diseases & health problems : signs, diagnoses, causes, treatment",Book,"Hawcroft, Tim,",0876058845 :,1
A-Z of perennials,Book,Readers' Digest Association,895775549,1
The A.B.C. murders,Book,"Christie, Agatha, 1890-1976.",553350021,1
Aa-choo!,Book,"Orr, Wendy",1550372092 (bound) 1550372084 (pbk.),1
"Aardvarks to zebras :  a menagerie of facts, fiction, and fantasy about the wonderful world of animals",Book,"Tulin, Melissa S.",806515481,1
"Aaron Slater, Illustrator",Book,"Beaty, Andrea.",9.78E+12,1
Abandoned in death,Book,"Robb, J. D.,",9781250278210 125027821X,1
Abandoned on Bataan : one man's story of survival,Book,"Allen, Oliver Craig,",0971318409 (pbk. : alk. paper),1
Abandoned prayers,Book,"Olsen, Gregg.",0312982011 (pbk.) :,1
Abandoned!,Book,"Dale, Jenny.",439113253,1
Abba Eban : an autobiography.,Book,"Eban, Abba Solomon,",0394493028 :,1
ABC animal jamboree,Book,"Andreae, Giles,",9781589250925  1589250923  9781589254367,1
ABC book of feelings,Book,"Boddy, Marlys.",570041902,1
ABC's of the human mind : a family answer book,Book,,895773457,1
ABC: An Amazing Alphabet Book,Book,"Seuss, Dr.",679882812,1
The ABCs of Christmas,Book,"Howarth, Jill,",9780762461257 (boardbook) 076246125X (boardbook),1
Abe Lincoln at last!,Book,"Osborne, Mary Pope.",9.78E+12,1
Abe Lincoln grows up,Book,"Sandburg, Carl, 1878-1967.",,1
"Abe Lincoln, log cabin to White House",Book,"North, Sterling, 1906-",,1
Abert and Kaibab.,Book,"Reese, BOB",898682274,1
Abigail Adams : courageous patriot and First Lady,Book,"Somervill, Barbara A.",0756509815 9780756509811,1
"Abigail Adams, an American woman",Book,"Akers, Charles W.",673393186,1
Abigail Adams.,Book,"Osborne, Angela",1555466354,1
"Abigail, the breeze fairy",Book,"Meadows, Daisy.",043979613X (pbk.) 9780439796132 (pbk.),1
The Abingdon Bible commentary,Book,"Eiselen, Frederick Carl",,1
"The abolition of man, or, Reflections on education with special reference to the teaching of English in the upper forms of schools",Book,"Lewis, C. S.",0060652942  9780060652944,1
The abominable snowman of Pasadena,Book,"Stine, R. L.",590190938,1
Abortion,Book,"Currie, Stephen, 1960-",073770229X (lib. bdg. : alk. paper),1
Abortion,Book,,9.78E+12,1
About birds :  a guide for children,Book,"Sill, Cathryn P., 1953-",1561451479 (pb),1
About Face,Book,"Michaels, Fern.,",739431552,1
Above the bay of angels : a novel,Book,"Bowen, Rhys,",9781542008266 1542008263 9781542008259 1542008255,1
Above the law,Book,"Green, Tim,",9780446401500 0446401501,1
Abracadanger,Book,"West, Tracey, 1965-",448432242,1
Abraham : a journey to the heart of three faiths,Book,"Feiler, Bruce S.",0380977761 (hc),1
The Abraham enigma,Book,"Lyon, Jack M.",9781606411063 (paperbound),1
Abraham Lincoln,Book,"Welsbacher, Anne, 1955-",1562397400,1
Abraham Lincoln,Book,"Stone, Tanya Lee.",0756608341  9780756608347  0756608333  9780756608330,1
Abraham Lincoln,Book,"Gilpin, Caroline Crosson.",9781426310850  1426310854  9781426310867  1426310862,1
Abraham Lincoln :    the prairie years and the war years.,Book,"Sandburg, Carl, 1878-1967.",,1
Abraham Lincoln : a photo-illustrated biography,Book,"Usel, T. M.",1560653418,1
"Abraham Lincoln, the Great Emancipator",Book,"Stevenson, Augusta.",20420307,1
Abraham Lincoln: Vampire Hunter,Book,"Grahame-Smith, Seth.",9780446563086 0446563080 9781455510177 (pbk.),1
Abran paso a los patitos = : make way for ducklings,Book,"McCloskey, Robert,",014056182X (bk) 9780140561821 (bk),1
An abridgement of The secret doctrine,Book,"Blavatsky, H. P.",835600092,1
"Absalom, Absalom! : the corrected text",Book,"Faulkner, William,",0679732187 : 9780679732181,1
The Absence of Mercy,Book,"Burley, John,",9780062227379 (trade pbk.) : 0062227378 (trade pbk.),1
"Absent in the spring, and other novels : Absent in the spring, Giant's bread, The rose and the yew tree",Book,"Christie, Agatha",0312273223 (pbk.),1
Absolute fear,Book,"Jackson, Lisa.",9780821779361 (pbk.) 0821779362 (pbk.),1
Absolute friends,Book,"Le Carré, John,",316000647,1
Absolute power,Book,"Baldacci, David.",0446677418\0446519960 (hardcover)\0446603589 (pbk.),1
Absolutely normal chaos,Book,"Creech, Sharon.",0064406326  0060269898 0060269928  9780780770249,1
The absolutely true diary of a part-time Indian,Book,"Alexie, Sherman,",9780316013697 0316013692,1
"Absolutely, positively",Book,"Krentz, Jayne Ann.",0671778730\0671551701,1
The absolutes,Book,"Robison, James,",0842368973 0842368981 (pbk.),1
Abstinence; postponing sexual involvement,Book,"Peacock, Judith",736807136,1
Abuela,Book,"Dorros, Arthur.",0525447504 9780525447504,1
Abuela's weave,Book,"Castaeda, Omar S., 1954-",1880000008,1
Abundance : a novel of Marie Antoinette,Book,"Naslund, Sena Jeter.",0060825405  9780060825409,1
An abundance of Katherines,Book,"Green, John,",9780525476887 0525476881 9781415697214 1415697213,1
Abusing over-the-counter drugs,Book,"Etingoff, Kim",1422201503 (lib. bdg.) 9781422201503 (lib. bdg.),1
The Academy Awards : the complete history of Oscar,Book,"Kinn, Gail.",157912240X,1
The accelerated learning handbook,Book,"Meier, Dave",0071355472 (alk. paper),1
Accents on accessories : ideas and inspirations from Southern accents.,Book,,848714520,1
Acceptable risk,Book,"Cook, Robin, 1940-",0399139710 (alk. paper),1
Accepted! : Secrets to Gaining Admission to the World's Top Universities.,Book,"Beaton, Jamie.",9781119833512 : PAP 1119833515 : PAP,1
Accident.,Book,"Steel, Danielle.",385306024,1
Accidental heroes : a novel,Book,"Steel, Danielle,",1101884118 9781101884119,1
Accidental sweetheart,Book,"Bingham, Lisa,",9781335369680 1335369686,1
The accidental tourist.,Book,"Tyler, Anne.",425114236,1
An accidental woman : a novel,Book,"Delinsky, Barbara.",743204700,1
The accomplice.,Book,"Galloway, Marcus.",9780425214206 (pbk.),1
According to Aggie,Book,"Beaumont, Mary Richards,",9781683370109 1683370104,1
Accordion to Zeppelin : inventions from A to Z,Book,"Salzmann, Mary Elizabeth,",9.78E+12,1
Accused : A Rosato & Associates Novel,Book,"Scottoline, Lisa.",9781250027658 (hardcover),1
Achilles,Book,"Glaser, Jason.",736826602,1
